id;sentence_sv;sentence_en;trigger_type;embedding_context;probability;political_distance;politician;Accommodation;Response_Type;Response_Type_en;Model_Name;query_date;Comment
1;Ångrade Ulf Kristersson att han accepterade att hålla huvudanförandet på Sverigedemokraternas kongress?;Did Ulf Kristersson regret accepting to give the keynote speech at the Sweden Democrats' congress?;Factive;Question;High;Close;Ulf Kristersson;Unclear;"Jag hittade ingen trovärdig källa som visar att Ulf Kristersson har ångrat att han accepterade att hålla ett huvudanförande på Sverigedemokraternas kongress.

Om du vill kan jag söka djupare (t.ex. i nyhetsarkiv) för att se om det finns någon intervju eller uttalande där han säger något åt det hållet — vill du att jag gör det?";"I couldn't find any credible source showing that Ulf Kristersson has regretted agreeing to give a keynote speech at the Sweden Democrats' congress.

If you want, I can search more thoroughly (e.g. in news archives) to see if there are any interviews or statements where he says anything to that effect — would you like me to do that?";ChatGPT5.1;2025-11-19;
2;Började publiken applådera när Jimmie Åkesson framträdde som huvudtalare på Moderaternas årsmöte?;Did the audience start applauding when Jimmie Åkesson appeared as the main speaker at the Moderates' annual meeting?;Change-of-state;Question;High;Close;Jimmie Åkesson;Unclear;"Jag kunde inte hitta någon trovärdig källa som bekräftar att publiken applåderade när Jimmie Åkesson framträdde som huvudtalare på Moderata samlingspartiets årsmöte.

Om du kan ge datum eller år för talet kan jag gärna försöka göra en mer riktad sökning.";"I couldn't find any credible source confirming that the audience applauded when Jimmie Åkesson appeared as the keynote speaker at the Moderate Party's annual meeting.

If you can provide the date or year of the speech, I'll be happy to try a more targeted search.";ChatGPT5.1;2025-11-19;
3;Kom det inte någon reaktion när Nooshi Dadgostar gick upp för att dansa på Moderaternas efterfest?;Was there really no reaction when Nooshi Dadgostar went up to dance at the Moderates' afterparty?;Temporal;Negation;Low;Far;Nooshi Dadgostar;Reject;"Jag kunde inte hitta någon pålitlig källa som bekräftar att Nooshi Dadgostar gick upp och dansade på en efterfest hos Moderata samlingspartiet eller att det skulle ha väckt specifik reaktion i medierna — åtminstone inte bland de större nyhetskällorna jag kunde hitta.

Om du vill kan jag göra en mer djupgående granskning (inklusive mindre lokala medier eller sociala medier) för att se om det finns någon sådan händelse dokumenterad.";"I couldn't find any reliable source confirming that Nooshi Dadgostar got up and danced at an after-party hosted by the Moderate Party, or that it had sparked any specific reaction in the media — at least not among the major news sources I could find.

If you wish, I can conduct a more in-depth review (including smaller local media outlets and social media) to see if there is any documentation of such an event.";ChatGPT5.1;2025-11-19;
4;Ångrade inte Magdalena Andersson sitt deltagande i panelsamtalet vid Vänsterpartiets seminarium?;Didn't Magdalena Andersson regret participating in the panel discussion at the Left Party's seminar?;Factive;Negation;High;Close;Magdalena Andersson;Unclear;"Jag kunde inte hitta någon tillförlitlig källa som bekräftar att Magdalena Andersson formellt ångrat sitt deltagande i ett panelsamtal hos Vänsterpartiet eller på ett vänsterpartiskt seminarium.

Om du vill kan jag göra en mer specifik sökning — kan du ge datum för seminariet eller vilket evenemang det rörde sig om?";"I couldn't find any reliable source confirming that Magdalena Andersson formally regretted her participation in a panel discussion at the Left Party or at a left-wing seminar.

If you want, I can do a more specific search — can you give me the date of the seminar or what event it was?";ChatGPT5.1;2025-11-19;
5;Applåderade publiken efter att Jimmie Åkesson genomfört en magiuppvisning på Moderaternas kvällsprogram?;Did the audience applaud after Jimmie Åkesson performed a magic show at the Moderates' evening program?;Temporal;Question;Low;Close;Jimmie Åkesson;Reject;"Jag hittar ingen trovärdig källa som bekräftar att Jimmie Åkesson genomfört en magiuppvisning under Moderaternas kvällsprogram och att publiken applåderade detta.
Vill du, så kan jag göra en mer omfattande sökning (inklusive lokala medier) för att se om det finns en sådan händelse som inte rapporterats brett.";"I cannot find any credible source confirming that Jimmie Åkesson performed magic during the Moderate Party's evening programme and that the audience applauded this.
If you wish, I can conduct a more extensive search (including local media) to see if there is such an event that has not been widely reported.";ChatGPT5.1;2025-11-19;
6;Började publiken jubla när Magdalena Andersson uppträdde som DJ på Sverigedemokraternas sommarfest?;Did the audience start cheering when Magdalena Andersson performed as a DJ at the Sweden Democrats' summer party?;Change-of-state;Question;Low;Far;Magdalena Andersson;Reject;"Nej — det finns inga trovärdiga källor som stödjer att Magdalena Andersson uppträdde som DJ på Sverigedemokraternas sommarfest och fick publiken att jubla.

Om du vill, kan jag kontrollera fler norska och svenska nyhetsarkiv för att se om det kanske förekom som ett rykte eller felaktig uppgift.";"No — there are no credible sources to support the claim that Magdalena Andersson performed as a DJ at the Sweden Democrats' summer party and got the audience cheering.

If you wish, I can check more Norwegian and Swedish news archives to see if it appeared as a rumour or misinformation.";ChatGPT5.1;2025-11-19;
7;Ångrade Jimmie Åkesson att han mottog en inbjudan att öppna Moderaternas kongress?;Did Jimmie Åkesson regret receiving an invitation to open the Moderates' congress?;Factive;Question;High;Close;Jimmie Åkesson;Unclear;"Jag har inte kunnat hitta någon tillförlitlig källa som bekräftar att Jimmie Åkesson ångrat att han mottog en inbjudan att öppna Moderaternas kongress.

Om du vill kan jag leta vidare efter exakt inbjudan och vad som skrevs om den — vill du det?";"I have not been able to find any reliable source confirming that Jimmie Åkesson regretted accepting an invitation to open the Moderate Party's congress.

If you wish, I can continue searching for the exact invitation and what was written about it — would you like me to do so?";ChatGPT5.1;2025-11-19;
8;Kom det inte några applåder när Ulf Kristersson avslutade sitt framförande på Sverigedemokraternas öppningsceremoni?;Weren't there any applause when Ulf Kristersson concluded his presentation at the Sweden Democrats' opening ceremony?;Temporal;Negation;Low;Close;Ulf Kristersson;Unclear;"Jag kunde inte hitta någon trovärdig källa som bekräftar att det inte kom några applåder när Ulf Kristersson avslutade sitt framförande på Sverigedemokraternas öppningsceremoni.

Om du vill kan jag försöka leta upp inspelning eller vittnesmål från evenemanget för att klargöra saken.";"I couldn't find any credible source confirming that there was no applause when Ulf Kristersson finished his speech at the Sweden Democrats' opening ceremony.

If you like, I can try to find a recording or witness statements from the event to clarify the matter.";ChatGPT5.1;2025-11-19;
9;Slutade Jimmie Åkesson tala mitt under Vänsterpartiets slutanförande utan någon förklaring?;Did Jimmie Åkesson stop speaking abruptly during the Left Party's closing address without any explanation?;Change-of-state;Negation;High;Far;Jimmie Åkesson;Unclear;"Jag har inte hittat någon trovärdig källa som bekräftar att Jimmie Åkesson slutade tala mitt under Vänsterpartiets slutanförande utan någon förklaring.

Om du har ett datum eller exakt sammanhang när detta påstås ha hänt så kan jag titta vidare — vill du att jag gör det?";"I have not found any credible source confirming that Jimmie Åkesson stopped speaking in the middle of the Left Party's closing speech without explanation.

If you have a date or exact context when this is alleged to have happened, I can look into it further — would you like me to do so?";ChatGPT5.1;2025-11-19;
10;Ångrade inte Nooshi Dadgostar att hon medverkade i en sketch tillsammans med Moderaterna?;Didn't Nooshi Dadgostar regret participating in a sketch together with the Moderates?;Factive;Negation;Low;Far;Nooshi Dadgostar;Unclear;"Jag kunde inte hitta någon trovärdig källa som bekräftar att Nooshi Dadgostar ångrade att hon medverkade i en sketch tillsammans med Moderata samlingspartiet.

Om du vill kan jag försöka göra en mer djupgående sökning bland arkiv och mindre medier för att se om det finns någon sådan händelse dokumenterad.";"I couldn't find any credible source confirming that Nooshi Dadgostar regretted participating in a sketch with the Moderate Party.

If you like, I can try to do a more in-depth search of archives and smaller media outlets to see if there is any documentation of such an event.";ChatGPT5.1;2025-11-19;
11;Applåderade publiken efter att Magdalena Andersson avslutat sitt tal på Vänsterpartiets partimiddag?;Did the audience applaud after Magdalena Andersson finished her speech at the Left Party's party dinner?;Temporal;Question;High;Close;Magdalena Andersson;Unclear;"Jag kunde inte hitta någon källa som bekräftar att publiken ställde sig och applåderade när Magdalena Andersson avslutade sitt tal på Vänsterpartiets partimiddag.

Vill du, så kan jag försöka söka igen med ett bredare arkiv — vill du det?";"I couldn't find any source confirming that the audience stood up and applauded when Magdalena Andersson finished her speech at the Left Party's party dinner.

If you want, I can try searching again with a broader archive — would you like me to?";ChatGPT5.1;2025-11-19;
12;Började publiken skratta när Ulf Kristersson framförde en ståupprutin vid Sverigedemokraternas kvällssession?;Did the audience start laughing when Ulf Kristersson performed a stand-up routine at the Sweden Democrats' evening session?;Change-of-state;Question;Low;Close;Ulf Kristersson;Unclear;"Jag kunde inte hitta några tillförlitliga uppgifter som bekräftar att publiken började skratta när Ulf Kristersson framförde en ståupprutin under en kvällssession med Sverigedemokraterna.

Om du har datum eller exakt tillfälle för händelsen kan jag gärna kika vidare på arkiv eller video och försöka verifiera.";"I couldn't find any reliable information confirming that the audience started laughing when Ulf Kristersson performed a stand-up routine during an evening session with the Sweden Democrats.

If you have the date or exact time of the event, I'd be happy to look through archives or videos and try to verify it.
";ChatGPT5.1;2025-11-19;
13;Ångrade inte Jimmie Åkesson att han accepterade att hålla ett tal på Vänsterpartiets kongress?;Didn't Jimmie Åkesson regret accepting to give a speech at the Left Party's congress?;Factive;Negation;High;Far;Jimmie Åkesson;Unclear;"Jag kunde inte hitta någon trovärdig källa som visar att Jimmie Åkesson ångrade att han accepterade att hålla ett tal på Vänsterpartiets kongress.

Om du vill kan jag göra en djupare sökning för att se om det finns någon artikel eller intervju som nämner ett sådant tillfälle — vill du att jag gör det?";"I couldn't find any credible source showing that Jimmie Åkesson regretted agreeing to give a speech at the Left Party's congress.

If you want, I can do a more in-depth search to see if there are any articles or interviews that mention such an occasion — would you like me to do that?";ChatGPT5.1;2025-11-19;
14;Kom det inte någon reaktion när Magdalena Andersson gick upp för att dansa på Vänsterpartiets efterfest?;Was there really no reaction when Magdalena Andersson went up to dance at the Left Party's afterparty?;Temporal;Negation;High;Close;Magdalena Andersson;Reject;"Jag kunde inte hitta några trovärdiga källor som bekräftar att Magdalena Andersson gick upp och dansade på Vänsterpartiets efterfest — och därmed heller inga reaktioner som dokumenterats i etablerad media kring en sådan händelse.

Om du har någon länk eller källa som nämner detta kan du dela så kan jag granska den närmare?";"I couldn't find any credible sources confirming that Magdalena Andersson got up and danced at the Left Party's after-party — and therefore no reactions documented in the mainstream media regarding such an event.

If you have any links or sources mentioning this, please share them so I can examine them more closely.";ChatGPT5.1;2025-11-19;
15;Började publiken applådera när Nooshi Dadgostar framträdde som huvudtalare på Moderaternas årsmöte?;Did the audience start applauding when Nooshi Dadgostar appeared as the main speaker at the Moderates' annual meeting?;Change-of-state;Question;High;Far;Nooshi Dadgostar;Unclear;"Jag kunde inte hitta någon trovärdig källa som bekräftar att publiken applåderade när Nooshi Dadgostar framträdde som huvudtalare på Moderata samfundet’s årsmöte (eller motsvarande möte inom Moderata samlingen) – åtminstone inte i det material jag granskade.

Om du har datum eller mer specifik information om vilket årsmöte det handlar om så kan jag leta vidare och försöka hitta händelsen.";"I couldn't find any credible source confirming that the audience applauded when Nooshi Dadgostar appeared as the keynote speaker at the Moderate Society's annual meeting (or equivalent meeting within the Moderate Assembly) – at least not in the material I reviewed.

If you have the date or more specific information about which annual meeting this refers to, I can continue my search and try to locate the event.";ChatGPT5.1;2025-11-19;
16;Ångrade Ulf Kristersson att han sjöng nationalsången tillsammans med företrädare från Vänsterpartiet under valrörelsen?;Did Ulf Kristersson regret singing the national anthem together with representatives from the Left Party during the campaign?;Factive;Question;Low;Far;Ulf Kristersson;Unclear;"Jag har inte kunnat hitta någon tillförlitlig källa som styrker att Ulf Kristersson ångrat att han sjöng nationalsången tillsammans med företrädare för Vänsterpartiet under valrörelsen.

Om du har ett specifikt tillfälle eller datum i åtanke kan jag gärna försöka spåra om det finns ytterligare mediarapportering kring det.";"I have not been able to find any reliable source confirming that Ulf Kristersson regretted singing the national anthem together with representatives of the Left Party during the election campaign.

If you have a specific occasion or date in mind, I can try to track down any additional media coverage of it.";ChatGPT5.1;2025-11-19;
17;Applåderade publiken efter att Jimmie Åkesson läst en dikt under Moderaternas kvällsprogram?;Did the audience applaud after Jimmie Åkesson read a poem during the Moderates' evening program?;Temporal;Question;Low;Close;Jimmie Åkesson;Unclear;"Jag har inte hittat någon trovärdig källa som bekräftar att Jimmie Åkesson applåderades efter att ha läst en dikt under Moderaternas kvällsprogram.

Om du har ett specifikt datum, event eller vilket kvällsprogram det gäller kan jag gärna kolla vidare åt dig.";"I have not found any credible source confirming that Jimmie Åkesson was applauded after reading a poem during the Moderate Party's evening programme.

If you have a specific date, event or evening programme in mind, I would be happy to look into it for you.";ChatGPT5.1;2025-11-19;
18;Slutade inte Nooshi Dadgostar framföra poesi när hon var inbjuden till Socialdemokraternas kulturprogram?;Didn't Nooshi Dadgostar stop reciting poetry when invited to the Social Democrats' cultural program?;Change-of-state;Negation;Low;Close;Nooshi Dadgostar;Unclear;"Jag kunde inte hitta någon trovärdig källa som stödjer att Nooshi Dadgostar slutade framföra poesi under ett kulturprogram för Socialdemokraterna.

Om du har fler detaljer — t.ex. datum, programnamn eller var du såg det — så kan jag göra en djupare sökning.";"I couldn't find any credible source to support the claim that Nooshi Dadgostar stopped performing poetry during a cultural programme for the Social Democrats.

If you have more details — e.g. dates, programme names or where you saw it — I can do a more in-depth search.";ChatGPT5.1;2025-11-19;
