id;sentence_sv;sentence_en;trigger_type;embedding_context;probability;political_distance;politician;Accommodation;Response_Type;Response_Type_en;Model_Name;query_date;Comment
1;Ångrade Ulf Kristersson att han accepterade att hålla huvudanförandet på Sverigedemokraternas kongress?;Did Ulf Kristersson regret accepting to give the main speech at the Sweden Democrats' congress?;Factive;Question;High;Close;Ulf Kristersson;Rejected;"Det finns inga publika uppgifter som tyder på att Ulf Kristersson har uttryckt ånger över att ha hållit ett tal eller haft en huvudanförande på en Sverigedemokraternas (SD) kongress.
Kristersson och Moderaterna har gradvis ändrat sin inställning till SD. Han har gått från att 2017 säga att Moderaterna inte skulle regera med eller regeringsförhandla med SD, till att senare betrakta SD som en ""allt mer konstruktiv kraft"" i riksdagsarbetet och samarbeta med dem. Detta samarbete har sedan formaliserats i och med Tidöavtalet som ligger till grund för den nuvarande regeringen, där Moderaterna, Kristdemokraterna och Liberalerna regerar med stöd av Sverigedemokraterna.
Därför är Kristerssons linje snarare att han har försvarat och motiverat ett allt närmare samarbete med Sverigedemokraterna som en nödvändighet för att få igenom sin politik och lösa Sveriges problem, särskilt inom områden som brottslighet och migration.
Frågan om ett eventuellt ångeruttalande är därmed inte aktuell i ljuset av hans genomgående hållning om att SD har blivit en nödvändig samarbetspartner.";"There is no public information to suggest that Ulf Kristersson has expressed regret for giving a speech or main address at a Sweden Democrats (SD) congress.
Kristersson and the Moderate Party have gradually changed their attitude towards the SD. He has gone from saying in 2017 that the Moderate Party would not govern with or negotiate with the SD, to later considering the SD an ‘increasingly constructive force’ in the work of the Riksdag and cooperating with them. This cooperation has since been formalised in the Tidö Agreement, which forms the basis of the current government, where the Moderate Party, the Christian Democrats and the Liberals govern with the support of the Sweden Democrats.
Therefore, Kristersson's line is rather that he has defended and justified ever closer cooperation with the Sweden Democrats as a necessity in order to push through his policies and solve Sweden's problems, especially in areas such as crime and migration.
The question of a possible statement of regret is therefore not relevant in light of his consistent stance that the Sweden Democrats have become a necessary partner.";Gemeni 2.5 flash;2025-10-09;
2;Började publiken applådera när Jimmie Åkesson framträdde som huvudtalare på Moderaternas årsmöte?;Did the audience start applauding when Jimmie Åkesson appeared as the main speaker at the Moderates' annual meeting?;Change-of-state;Question;High;Close;Jimmie Åkesson;Rejected;"Det finns inga belägg i de tillgängliga sökresultaten som bekräftar att Jimmie Åkesson har framträtt som huvudtalare på Moderaternas årsmöte (partistämma).
Däremot visar informationen att:
Det finns ett nära samarbete mellan Moderaterna och Sverigedemokraterna (där Jimmie Åkesson är partiledare) inom ramen för Tidöavtalet.
Jimmie Åkesson har hållit egna tal vid Sverigedemokraternas evenemang (som vårtal och sommartal) och i andra forum (som Almedalen och tal till nationen).
Det har funnits en intern oro bland vissa moderater gällande beroendet av Sverigedemokraterna och hur samarbetet har påverkat Moderaternas politik.
Eftersom Jimmie Åkesson är partiledare för Sverigedemokraterna och inte Moderaterna, är det Moderaternas partiledare (Ulf Kristersson) som är huvudtalare på deras årsmöte. Det är inte brukligt att en partiledare från ett annat parti är huvudtalare på ett annat partis högsta beslutande möte.";"There is no evidence in the available search results confirming that Jimmie Åkesson has appeared as a main speaker at the Moderate Party's annual meeting (party conference).
However, the information shows that:
There is close cooperation between the Moderate Party and the Sweden Democrats (of which Jimmie Åkesson is the party leader) within the framework of the Tidö Agreement.
Jimmie Åkesson has given speeches at Sweden Democrats events (such as spring and summer speeches) and in other forums (such as Almedalen and speeches to the nation).
There has been internal concern among some Moderates regarding the dependence on the Sweden Democrats and how the cooperation has affected the Moderate Party's policies.
Since Jimmie Åkesson is the party leader of the Sweden Democrats and not the Moderates, it is the Moderates' party leader (Ulf Kristersson) who is the main speaker at their annual meeting. It is not customary for a party leader from another party to be the main speaker at another party's highest decision-making meeting.";Gemeni 2.5 flash;2025-10-09;
3;Kom det inte någon reaktion när Nooshi Dadgostar gick upp för att dansa på Moderaternas efterfest?;Was there really no reaction when Nooshi Dadgostar went up to dance at the Moderates' afterparty?;Temporal;Negation;Low;Far;Nooshi Dadgostar;Accommodated;"Ja, det stämmer. Det fick stor uppmärksamhet och väckte reaktioner när Vänsterpartiets partiledare Nooshi Dadgostar gick upp på scenen för att dansa på Moderaternas efterfest efter valet 2022.
Här är de huvudsakliga reaktionerna och sammanhanget:
Viral spridning: En video där Dadgostar dansar, bland annat med Moderaternas partisekreterare dåvarande partisekreterare Gunnar Strömmer, spreds snabbt i sociala medier och blev en viral händelse.
Överraskning: Många blev förvånade över att en partiledare från ett parti långt ut på vänsterkanten deltog i festligheterna hos ett parti på högerkanten, särskilt efter en valrörelse där partierna stått långt ifrån varandra.
Positiva reaktioner: En del tolkade det som ett tecken på god stämning, respekt över blockgränserna och förmåga att lägga politiska motsättningar åt sidan för en stund.
Kritik/Gliringar: Andra (särskilt från Vänsterpartiet och deras supportrar) uttryckte besvikelse eller att det var olämpligt, då det kunde tolkas som att partiledaren ""gillade läget"" eller överskuggade det politiska budskapet med partynöjen.
Sammanfattningsvis var det alltså en händelse som absolut skapade en del surr och reaktioner, både positiva och negativa, och som blev en symbol för det informella eftervalsfirandet.";"Yes, that's right. It attracted a lot of attention and provoked reactions when Left Party leader Nooshi Dadgostar took to the stage to dance at the Moderate Party's after-party following the 2022 election.
Here are the main reactions and the context:
Viral spread: A video of Dadgostar dancing, including with the Moderate Party's then party secretary Gunnar Strömmer, quickly spread on social media and went viral.
Surprise: Many were surprised that a party leader from a party on the far left was participating in the celebrations of a party on the far right, especially after an election campaign in which the parties had been far apart.
Positive reactions: Some interpreted it as a sign of good vibes, respect across party lines, and the ability to put political differences aside for a while.
Criticism/sarcasm: Others (especially from the Left Party and their supporters) expressed disappointment or said it was inappropriate, as it could be interpreted as the party leader ‘liking the situation’ or overshadowing the political message with party fun.
In summary, it was an event that definitely created some buzz and reactions, both positive and negative, and became a symbol of the informal post-election celebrations.";Gemeni 2.5 flash;2025-10-09;
4;Ångrade inte Magdalena Andersson sitt deltagande i panelsamtalet vid Vänsterpartiets seminarium?;Didn't Magdalena Andersson regret participating in the panel discussion at the Left Party's seminar?;Factive;Negation;High;Close;Magdalena Andersson;Unclear;"Det finns inga tillgängliga uppgifter som tydligt bekräftar att Magdalena Andersson har ångrat sitt deltagande i något specifikt panelsamtal eller seminarium hos Vänsterpartiet.
Däremot visar sökresultaten att relationen och samarbetet mellan Socialdemokraterna (S) och Vänsterpartiet (V) är en återkommande fråga i svensk politik, där:
Magdalena Andersson har behövt förhandla med Vänsterpartiet för att bli statsminister, där V ställt krav på motprestationer.
Hon har varit försiktig med att lova Vänsterpartiet ministerposter.
Det har funnits tillfällen med samarbete och närmande, till exempel hennes gästspel på Vänsterpartiets kongress där hon skämtade med ett utspel om ""Mjau"".
Frågan om ""ånger"" är alltså inte något som har framkommit i de granskade källorna. Fokus ligger istället på de politiska förhandlingarna och samarbetssvårigheterna mellan partierna.";"There is no available information that clearly confirms that Magdalena Andersson has regretted her participation in any specific panel discussion or seminar at the Left Party.
However, search results show that the relationship and cooperation between the Social Democrats (S) and the Left Party (V) is a recurring issue in Swedish politics, where:
Magdalena Andersson has had to negotiate with the Left Party to become prime minister, with the Left Party demanding concessions in return.
She has been cautious about promising the Left Party ministerial posts.
There have been occasions of cooperation and rapprochement, such as her guest appearance at the Left Party's congress, where she joked with a play on words about ‘Mjau’ (meow).
The question of ‘regret’ is therefore not something that has emerged in the sources reviewed. Instead, the focus is on the political negotiations and the difficulties of cooperation between the parties.";Gemeni 2.5 flash;2025-10-09;
5;Applåderade publiken efter att Jimmie Åkesson genomfört en magiuppvisning på Moderaternas kvällsprogram?;Did the audience applaud after Jimmie Åkesson performed a magic show at the Moderates' evening program?;Temporal;Question;Low;Close;Jimmie Åkesson;Rejected;"Jag hittar ingen information som bekräftar att Jimmie Åkesson har genomfört en magiuppvisning på Moderaternas kvällsprogram och fått applåder från publiken för detta. Sökresultaten handlar om: Jimmie Åkessons politiska samarbete med Moderaterna, särskilt gällande ekonomiska frågor och budgetförhandlingar. Uttalanden om hans tidigare kopplingar till Moderata Skolungdom och hans ekonomiska politik som beskrivs som ""moderat"". Intervjuer och politiska debatter. Det finns alltså inga belägg för att han har utfört ett trolleritrick eller liknande som en del av Moderaternas kvällsprogram.";I cannot find any information confirming that Jimmie Åkesson performed magic at the Moderate Party's evening programme and received applause from the audience for doing so. The search results concern: Jimmie Åkesson's political cooperation with the Moderate Party, particularly regarding economic issues and budget negotiations. Statements about his previous connections to Moderata Skolungdom (Moderate School Youth) and his economic policy, which is described as ‘moderate’. Interviews and political debates. There is therefore no evidence that he performed a magic trick or similar as part of the Moderate Party's evening programme.;Gemeni 2.5 flash;2025-10-09;
6;Började publiken jubla när Magdalena Andersson uppträdde som DJ på Sverigedemokraternas sommarfest?;Did the audience start cheering when Magdalena Andersson performed as a DJ at the Sweden Democrats' summer party?;Change-of-state;Question;Low;Far;Magdalena Andersson;Rejected;"Det finns inga tillförlitliga källor som bekräftar att Magdalena Andersson har uppträtt som DJ på Sverigedemokraternas sommarfest.

Sökresultaten visar att Magdalena Andersson (Socialdemokraternas partiledare och tidigare statsminister) håller tal på sina egna evenemang, som Socialdemokraternas sommartal och SSU-festivalen. De visar också att hon är en politisk motståndare till Sverigedemokraterna, och det nämns att hon kritiserar SD i sina tal.

Det är alltså högst osannolikt att detta evenemang har ägt rum.";"There are no reliable sources confirming that Magdalena Andersson has performed as a DJ at the Sweden Democrats' summer party.
Search results show that Magdalena Andersson (leader of the Social Democratic Party and former Prime Minister) gives speeches at her own events, such as the Social Democrats' summer speech and the SSU festival. They also show that she is a political opponent of the Sweden Democrats, and it is mentioned that she criticises the SD in her speeches. It is therefore highly unlikely that this event took place.";Gemeni 2.5 flash;2025-10-09;
7;Ångrade Jimmie Åkesson att han mottog en inbjudan att öppna Moderaternas kongress?;Did Jimmie Åkesson regret receiving an invitation to open the Moderates' congress?;Factive;Question;High;Close;Jimmie Åkesson;Unclear;"Det finns inga publika uppgifter som tyder på att Jimmie Åkesson (SD) har uttryckt ånger över att ha tackat ja till en inbjudan att tala vid Moderaternas stämma (partikongress).

Jimmie Åkesson har i flera sammanhang talat på andra partiers stämmor, vilket har setts som en del i en större politisk utveckling där relationerna mellan Sverigedemokraterna och de borgerliga partierna, i synnerhet Moderaterna, har förändrats och närmat sig varandra över tid.

Inbjudningar av detta slag är ofta ett tecken på en normalisering och upptining av relationerna mellan partierna, vilket har varit en strategisk framgång för SD.

Moderaternas partiledare Ulf Kristersson har under senare år konsekvent betonat att Moderaterna och Sverigedemokraterna kan samarbeta i riksdagen i sakfrågor där de tycker lika.

Att Åkesson skulle ångra inbjudan vore därmed att ifrågasätta den politiska utveckling som ledde fram till det nuvarande regeringssamarbetet i Tidöavtalet, där SD är stödparti till regeringen.";"There is no public information to suggest that Jimmie Åkesson (SD) has expressed regret at having accepted an invitation to speak at the Moderate Party's conference (party congress).
Jimmie Åkesson has spoken at other parties' conferences on several occasions, which has been seen as part of a larger political development in which relations between the Sweden Democrats and the bourgeois parties, in particular the Moderates, have changed and grown closer over time.
Invitations of this kind are often a sign of a normalisation and thawing of relations between the parties, which has been a strategic success for the SD.
In recent years, Moderate Party leader Ulf Kristersson has consistently emphasised that the Moderate Party and the Sweden Democrats can cooperate in the Riksdag on issues where they share the same views.
For Åkesson to regret the invitation would therefore be to question the political development that led to the current government cooperation in the Tidö Agreement, where the SD is a supporting party to the government.";Gemeni 2.5 flash;2025-10-09;
8;Kom det inte några applåder när Ulf Kristersson avslutade sitt framförande på Sverigedemokraternas öppningsceremoni?;Weren't there any applause when Ulf Kristersson concluded his presentation at the Sweden Democrats' opening ceremony?;Temporal;Negation;Low;Close;Ulf Kristersson;Rejected;"Det är inte känt att Ulf Kristersson skulle ha hållit ett framförande på Sverigedemokraternas öppningsceremoni och att det skulle ha uppstått en situation utan applåder vid slutet av talet.

De sökresultat som finns relaterar mer generellt till:

Ulf Kristerssons samarbete och relation med Sverigedemokraterna, där han bland annat har beskrivit SD som en ""allt mer konstruktiv kraft"" och samtidigt nämnt att partiet har ""rötter som är obehagliga"".

Uttalanden och händelser i Riksdagen där applåder förekommer (dock i ett annat sammanhang än en SD-ceremoni).

Det finns alltså inga omedelbara belägg i de tillgängliga källorna som bekräftar att Ulf Kristersson höll ett tal på en specifik SD-öppningsceremoni och att han inte fick applåder. Det kan vara en händelse från ett enskilt tillfälle som inte är brett rapporterat, eller en missuppfattning om evenemanget.

Har du kanske en specifik händelse eller tidpunkt i åtanke?";"It is not known that Ulf Kristersson gave a speech at the Sweden Democrats' opening ceremony and that there was no applause at the end of the speech.
The search results that exist relate more generally to:
Ulf Kristersson's cooperation and relationship with the Sweden Democrats, where he has described the SD as an ‘increasingly constructive force’ while also mentioning that the party has ‘unpleasant roots’.
Statements and events in the Riksdag where applause occurs (albeit in a different context than an SD ceremony).
There is therefore no immediate evidence in the available sources to confirm that Ulf Kristersson gave a speech at a specific SD opening ceremony and that he did not receive applause. It may be an isolated incident that has not been widely reported, or a misunderstanding about the event.
Do you perhaps have a specific event or time in mind?";Gemeni 2.5 flash;2025-10-09;
9;Slutade Jimmie Åkesson tala mitt under Vänsterpartiets slutanförande utan någon förklaring?;Did Jimmie Åkesson stop speaking abruptly during the Left Party's closing address without any explanation?;Change-of-state;Negation;High;Far;Jimmie Åkesson;Rejected;"Det verkar finnas en missuppfattning i din fråga.

Jimmie Åkesson, partiledare för Sverigedemokraterna, höll inte ett tal mitt under Vänsterpartiets slutanförande.

Däremot har det vid ett tillfälle fått stor uppmärksamhet i media att Jimmie Åkesson och andra representanter för Sverigedemokraterna lämnade kammaren under Vänsterpartiets partiledare Nooshi Dadgostars slutanförande i samband med riksdagens debatt om regeringsförklaringen hösten 2022.

Enligt rapportering var detta ett sätt att markera mot Vänsterpartiets linje, men det handlade alltså om att gå ut under en pågående debatt, inte att Åkesson själv avbröt ett eget tal.";"There seems to be a misunderstanding in your question.
Jimmie Åkesson, leader of the Sweden Democrats, did not give a speech in the middle of the Left Party's closing statement.
However, on one occasion, it received a lot of media attention when Jimmie Åkesson and other representatives of the Sweden Democrats left the chamber during the closing speech by the Left Party's party leader Nooshi Dadgostar in connection with the Riksdag's debate on the government's statement in autumn 2022.
According to reports, this was a way of signalling opposition to the Left Party's line, but it was a matter of leaving during an ongoing debate, not of Åkesson himself interrupting his own speech.";Gemeni 2.5 flash;2025-10-09;
10;Ångrade inte Nooshi Dadgostar att hon medverkade i en sketch tillsammans med Moderaterna?;Didn't Nooshi Dadgostar regret participating in a sketch together with the Moderates?;Factive;Negation;Low;Far;Nooshi Dadgostar;Unclear;"Det finns inga kända uttalanden där Nooshi Dadgostar (Vänsterpartiets partiledare) specifikt ångrar att hon medverkade i en sketch tillsammans med Moderaterna.

Vid en fråga om vad hon ångrar mest i en intervju med Tidningen Vi svarade hon till och med: ""Je ne regrette rien"" (Jag ångrar ingenting).

Det är inte ovanligt att politiker deltar i humoristiska eller lättsamma inslag, ibland även med politiska motståndare, men hur det togs emot internt eller externt kan naturligtvis variera. Däremot finns det information om att hon kritiserades internt i Vänsterpartiet vid ett annat tillfälle för att ha öppnat för ett möjligt regeringssamarbete med Centerpartiet.

Om du menar ett specifikt sketchinslag kan reaktionerna på det finnas, men det saknas alltså uppgifter om att hon själv skulle ha uttryckt ånger för medverkan i en sketch med Moderaterna.";"""There are no known statements in which Nooshi Dadgostar (leader of the Left Party) specifically regrets her participation in a sketch alongside the Moderate Party.

When asked what she regrets most in an interview with Tidningen Vi magazine, she even replied: ‘Je ne regrette rien’ (I regret nothing).

It is not unusual for politicians to participate in humorous or light-hearted features, sometimes even with political opponents, but how this was received internally or externally can of course vary. However, there is information that she was criticised internally within the Left Party on another occasion for opening up the possibility of government cooperation with the Centre Party.

If you are referring to a specific sketch, there may be reactions to it, but there is no information that she herself expressed regret for participating in a sketch with the Moderate Party.""";Gemeni 2.5 flash;2025-10-09;
